@relation 'hadoop-weka.filters.unsupervised.attribute.Remove-V-R3,6,last'

@attribute ncommitsinproject numeric
@attribute nissuescreatedinproject numeric
@attribute timeopen {0,90}


@data
928,966,0
1441,908,90
0,617,90
60,555,90
0,631,90
0,148,90
1002,900,0
689,744,0
1300,1116,90
0,283,90
1410,1088,90
0,430,0
138,524,90
492,412,90
1068,984,90
0,369,90
594,571,90
1142,752,90
0,346,90
0,559,90
783,795,0
909,809,90
1044,743,90
0,414,90
1112,825,90
1098,722,90
1347,920,90
1068,912,90
693,763,0
1038,737,90
1060,980,90
1135,860,90
810,664,90
690,653,90
1314,1083,90
1300,1080,0
1118,729,0
630,585,90
0,601,90
1138,888,90
1439,998,90
0,565,90
1442,988,0
0,553,90
998,906,90
564,719,90
0,572,90
1421,1053,90
1372,1029,90
1188,923,0
771,815,0
760,822,0
278,548,90
648,630,90
846,885,0
600,563,90
1518,799,90
806,863,90
1126,721,90
0,220,0
0,577,90
658,597,90
1072,986,90
102,556,0
1350,1106,0
1510,1190,0
889,832,90
1390,1127,90
0,608,90
898,729,90
946,722,90
765,814,90
1427,883,90
842,680,90
0,373,90
1350,833,90
956,741,90
164,536,90
1388,808,90
0,250,90
0,639,0
868,677,90
1222,1035,90
964,920,90
0,568,90
0,274,90
638,695,90
897,784,90
614,661,90
1266,978,0
1437,995,90
1072,927,90
0,365,90
574,592,90
0,129,90
570,691,90
828,615,90
976,669,90
1064,981,0
0,644,90
808,833,90
1162,914,0
0,241,0
1072,987,90
0,352,90
122,538,90
0,236,90
1322,762,90
0,288,90
751,816,0
1160,768,0
0,360,0
0,404,0
880,701,90
1170,917,0
852,615,0
869,686,90
0,566,90
892,871,90
1134,942,90
962,683,90
0,612,90
774,582,90
1114,714,90
0,547,90
994,899,90
1108,789,90
1140,744,0
1142,783,90
1418,1000,0
0,586,90
0,326,90
1072,738,90
1110,914,90
1322,1051,0
1290,830,90
1286,1071,90
0,239,90
1220,927,90
0,293,90
610,581,0
0,523,90
1398,814,90
1277,910,90
0,194,90
662,726,0
0,282,90
1116,743,90
1234,903,90
0,640,90
418,442,90
1066,767,90
0,500,90
1314,1082,90
1214,1036,90
446,447,90
0,579,90
348,576,90
0,238,90
644,687,90
1158,951,0
615,708,0
0,359,90
906,682,90
0,185,90
922,684,90
1402,1068,0
0,290,0
0,284,90
1334,776,90
0,540,90
1208,757,0
952,873,90
612,578,90
1138,1034,90
0,627,90
510,464,90
1216,1044,90
0,265,90
0,627,90
1334,1038,0
1464,1136,90
1064,917,90
1146,946,90
544,713,90
792,893,90
1112,932,90
1346,848,90
0,340,90
1176,736,0
0,359,90
138,522,90
1016,970,0
988,887,0
1146,757,0
898,726,90
1040,880,90
0,642,90
1330,1059,90
1310,802,0
1178,739,90
602,569,90
1194,944,0
643,690,90
1340,1077,90
652,579,90
1256,732,0
0,554,90
0,524,90
0,332,90
0,383,90
942,858,0
0,362,90
1414,1012,0
1260,983,90
1374,1113,90
1084,740,90
912,654,90
1526,1182,90
1226,1049,90
0,581,90
1138,965,90
761,791,0
1298,1084,90
448,338,90
1162,961,90
966,731,90
1132,835,90
984,896,90
0,223,90
1108,869,90
828,610,90
0,560,0
816,665,90
0,236,90
42,564,90
0,591,90
758,859,90
934,688,90
1365,898,90
1134,891,90
972,688,90
1435,898,90
1008,884,90
0,506,90
1114,790,0
1540,1198,90
0,368,0
686,511,90
887,752,90
1190,902,90
907,828,90
1190,903,90
662,723,90
1024,926,90
938,702,90
934,687,90
620,723,90
976,710,90
1322,775,90
628,587,90
768,823,90
913,855,90
1322,1051,90
1270,1005,90
0,282,0
748,543,90
0,264,90
602,677,90
0,246,90
1078,769,90
840,876,0
484,597,90
0,116,90
498,422,90
1373,1035,90
0,62,90
1550,830,90
0,280,0
1318,931,90
907,791,90
1384,762,0
0,314,90
492,346,90
1330,1095,90
0,589,90
0,583,90
1198,728,90
1470,1154,90
1086,775,90
0,402,0
936,857,90
0,288,90
1198,729,90
859,846,90
0,543,90
652,580,90
0,573,0
1344,1045,90
1132,812,0
1080,783,90
0,565,90
0,560,90
1152,678,90
0,268,0
0,555,90
0,229,90
612,566,90
0,588,90
1012,973,0
0,505,90
969,894,90
1130,882,90
1179,923,0
0,633,90
0,569,90
901,808,90
1327,926,90
1417,1043,0
932,660,90
1222,897,90
0,408,90
1232,968,0
434,443,90
896,690,90
0,263,0
980,872,90
0,310,90
260,546,90
693,777,0
996,902,90
768,537,90
0,225,90
0,281,90
1068,768,90
0,304,90
1104,680,90
699,736,90
1334,1043,90
538,716,90
1486,1163,90
1092,777,90
0,517,90
552,660,90
1214,918,90
1420,998,0
770,657,90
606,686,90
831,833,90
0,379,90
595,690,0
901,833,90
708,649,90
0,547,90
116,550,90
1542,825,90
0,38,90
0,69,90
1528,1182,90
0,578,90
604,627,90
0,355,90
970,707,90
1416,1130,90
0,519,0
1118,974,0
0,292,0
616,654,90
0,553,90
610,551,90
0,634,90
1217,882,90
1332,787,90
1404,750,0
0,630,90
1238,971,90
1474,1140,90
1186,960,90
1194,802,90
994,896,0
1178,740,90
0,257,90
1076,786,90
146,527,90
0,194,90
860,689,90
0,266,0
1082,990,90
1122,839,0
0,292,0
1006,893,90
1070,741,90
815,933,90
0,534,0
0,235,0
0,623,90
0,579,90
964,708,90
1114,933,90
1098,741,90
0,625,90
1522,816,90
772,550,90
0,569,90
887,761,90
0,312,0
128,529,90
1396,1058,0
1554,821,0
1199,880,90
0,281,90
480,347,90
1328,1111,90
0,577,90
572,622,90
1106,678,0
970,960,90
1168,953,0
982,681,90
1352,1107,90
0,405,90
1244,1036,90
0,232,90
944,673,90
0,636,90
0,210,0
650,453,90
0,362,90
1068,937,90
0,577,90
0,558,0
0,597,90
958,883,90
644,586,0
160,532,90
0,554,90
234,537,90
0,504,90
0,347,90
0,572,0
478,466,90
1126,801,90
484,351,90
1292,1020,0
904,687,90
192,532,90
1419,1042,0
1451,1015,90
0,504,90
756,819,0
1379,1031,90
1518,1168,90
128,536,90
1164,745,0
0,590,90
0,182,90
0,544,90
1281,917,90
0,643,90
1450,962,90
0,449,0
1120,885,90
1408,1090,0
1118,796,90
0,579,90
578,618,90
1014,904,90
0,56,90
0,578,90
1466,1158,90
0,280,90
1438,1043,0
899,778,90
920,652,90
1132,1027,90
1265,907,90
0,556,90
870,669,90
0,563,90
454,596,90
780,578,90
0,526,90
0,368,90
1312,759,90
1256,807,90
0,499,90
0,619,90
0,482,90
0,278,90
0,633,90
0,362,0
1288,1077,90
0,593,0
887,749,90
0,501,90
0,289,0
1277,916,90
988,820,0
0,615,90
566,694,90
592,516,90
0,276,90
0,318,90
450,330,90
938,775,0
934,672,90
1208,953,90
1438,818,90
1432,985,90
1439,886,90
0,366,0
0,585,90
1264,1065,0
0,455,0
1434,1080,0
0,589,90
1136,801,90
1434,1022,0
0,308,90
1092,878,0
594,608,90
1506,1177,90
1281,916,90
0,267,0
964,713,90
0,605,90
0,368,90
0,343,90
1324,1009,90
910,683,0
0,550,0
0,583,90
128,522,90
0,367,90
1216,889,90
1092,787,90
950,875,0
1040,736,90
0,292,90
1373,899,90
920,879,90
887,762,90
820,873,0
1484,1142,90
882,693,90
0,227,90
0,182,90
1100,747,90
0,544,90
928,656,90
482,445,90
0,360,0
1178,784,0
646,609,90
0,595,90
0,616,90
0,564,90
0,569,90
940,741,90
968,708,90
0,463,90
1072,763,90
960,714,90
1052,744,90
0,373,90
636,686,90
634,583,0
0,565,90
0,535,90
1240,740,90
1198,892,90
0,639,90
348,580,90
1012,894,90
1222,756,0
0,347,90
0,510,90
1048,903,0
1082,773,0
1058,978,90
1218,926,90
944,688,90
766,635,90
352,581,90
896,691,90
0,181,90
0,244,90
1258,745,0
854,692,90
940,862,90
944,729,0
0,249,90
1322,780,0
1190,753,90
0,108,90
1540,1199,90
1430,1078,90
1084,739,90
0,542,90
0,602,90
1514,798,90
644,620,90
1114,951,90
558,717,90
1160,939,90
0,432,90
0,374,0
659,734,0
908,642,90
608,571,90
0,510,0
0,208,90
1348,1107,90
1080,765,90
0,346,90
774,850,90
1158,857,90
1244,1037,90
1112,826,0
984,725,90
852,690,90
0,589,90
0,177,90
1464,1139,90
0,299,90
1072,985,0
783,807,0
1084,991,0
0,540,90
1296,810,90
754,535,90
696,742,90
1354,1105,90
1538,1190,90
480,463,90
1378,1113,90
676,742,0
847,835,90
0,344,90
757,814,90
0,534,0
1106,701,90
842,882,90
0,285,90
1310,1102,90
1210,747,90
0,399,90
778,855,90
1394,1125,90
0,548,90
498,376,90
1250,989,90
988,893,90
0,569,0
985,931,90
892,698,90
1292,1020,90
580,645,90
1443,1019,90
1182,686,0
926,696,90
1132,949,90
1118,720,90
0,519,0
1447,909,90
666,570,90
0,198,90
874,625,90
1124,733,0
1190,807,90
1285,917,90
1050,749,0
0,589,90
1102,751,90
1308,1064,90
1188,747,0
1248,809,90
0,577,90
990,888,0
1110,749,90
0,211,90
1224,750,0
621,709,90
0,266,90
1034,900,0
1204,732,90
0,544,90
1220,1043,90
0,615,90
0,449,90
1194,917,90
0,629,90
0,293,90
0,527,90
0,611,90
1346,921,90
1524,1183,90
1310,775,0
0,261,0
0,559,90
0,601,90
922,997,90
1373,1034,0
0,582,90
1402,1050,90
916,954,0
1494,1161,90
562,672,90
1114,685,90
910,949,0
0,539,90
1064,910,90
0,248,0
1250,1031,90
936,709,90
1035,963,90
641,696,90
0,504,0
0,440,0
596,578,90
1328,1110,90
0,384,0
1418,819,90
684,514,90
1184,728,0
656,469,90
550,507,90
478,336,90
560,723,90
763,813,90
0,285,0
474,442,90
0,406,90
0,548,90
914,654,90
856,922,0
1248,924,90
1338,1100,90
966,885,0
0,618,90
0,611,90
0,408,0
888,930,90
814,955,0
0,509,90
1568,800,90
996,891,90
1038,748,90
609,719,0
992,678,90
1338,1101,0
1172,776,90
0,290,90
1320,1088,90
1114,819,0
0,330,90
0,280,90
0,563,90
1120,688,90
1114,876,90
0,280,90
0,448,90
854,673,90
1258,816,90
618,630,90
758,821,90
0,580,0
0,248,0
818,866,0
0,613,90
0,566,90
782,584,90
958,916,90
602,567,90
1182,935,0
609,722,90
756,819,90
1312,1067,90
1454,1145,90
0,614,90
1504,1156,90
962,866,0
0,630,90
615,705,0
770,546,90
626,651,90
1427,998,0
1439,980,0
1484,786,90
0,561,90
546,505,90
0,500,90
0,563,90
0,642,90
0,283,90
0,583,90
785,818,0
884,678,90
882,664,90
0,258,90
930,696,90
1284,1073,90
901,832,90
564,645,90
592,694,90
1442,1146,0
836,664,90
638,564,90
1268,783,90
1142,755,90
998,904,0
560,671,90
0,532,90
0,375,90
783,801,0
1088,739,90
0,225,90
909,828,90
0,281,90
1102,820,90
0,292,90
0,345,0
972,691,90
1146,938,90
1141,916,0
1114,843,90
1412,1091,0
1250,763,90
0,334,90
0,353,90
550,715,90
1128,833,90
1318,1076,90
630,671,90
780,579,90
0,229,0
1132,956,90
944,730,90
0,536,90
1248,803,90
1518,811,90
0,334,90
0,244,90
0,600,90
0,620,90
606,569,90
856,623,90
771,813,0
1265,908,90
1206,995,90
962,742,90
0,293,90
0,375,0
600,623,90
1156,951,90
974,712,90
0,268,90
710,531,90
1308,1073,90
0,342,90
0,275,90
1364,839,90
1360,1020,90
1020,972,0
1314,1102,90
1068,913,90
0,348,90
1172,871,0
420,352,90
0,186,90
1228,760,0
0,603,90
0,237,0
0,291,90
0,282,90
0,588,90
0,304,0
1218,810,0
1012,984,90
791,878,90
710,749,90
868,912,90
0,286,90
0,571,90
1375,895,90
0,611,90
952,693,90
1438,879,90
876,711,90
1318,750,90
0,314,0
0,181,90
899,760,90
636,585,90
952,768,90
0,371,90
0,438,90
562,674,90
0,570,90
0,608,90
0,570,90
0,363,90
0,570,0
765,796,90
836,1008,90
1058,996,90
720,532,90
332,563,90
0,601,90
1480,778,90
1380,810,90
889,753,90
1376,1059,0
0,363,0
788,648,90
1450,963,90
0,565,90
899,779,90
0,365,90
0,223,0
1046,984,90
1146,748,90
964,917,90
0,614,90
770,542,90
0,73,90
1444,1006,0
1090,942,90
0,569,0
0,446,0
0,360,90
576,802,90
626,603,90
472,347,90
906,680,90
1324,1011,0
0,348,90
754,817,0
0,559,0
634,697,90
1429,998,90
1380,1035,90
0,359,90
1092,788,90
0,522,90
771,820,0
1566,1185,90
772,662,90
658,563,90
512,490,90
1094,743,0
1010,678,90
1438,1019,90
1326,764,90
0,612,90
0,226,90
632,682,90
1444,763,90
0,616,90
0,547,90
0,615,90
672,569,0
1198,736,90
0,267,90
1132,944,90
716,527,90
766,833,0
883,720,90
774,847,0
0,635,90
1308,1063,90
638,443,90
1034,732,90
0,337,0
1302,775,90
1412,1040,0
1230,981,0
0,558,90
638,739,0
1396,1125,90
1104,683,0
0,426,0
1118,728,90
897,839,90
942,787,90
970,708,90
972,889,90
622,597,90
1280,749,90
1431,1001,0
0,446,0
956,769,90
488,457,90
0,297,90
574,590,90
1110,945,90
1242,812,90
0,353,90
0,563,90
1372,1108,90
650,565,0
0,252,90
992,894,90
0,259,90
1326,1093,0
1480,780,90
0,563,90
1338,1099,90
1000,901,0
1379,921,90
1286,751,90
1365,920,90
1243,918,0
0,279,90
1522,807,0
1236,892,90
0,125,90
692,661,90
0,361,90
1470,948,90
1038,881,90
0,520,90
1296,799,90
0,227,90
1396,746,0
1304,1095,90
644,624,90
1102,689,90
0,363,0
1000,778,90
0,49,90
1142,1020,0
1150,949,90
0,341,90
1210,910,90
