@relation 'ofbiz-weka.filters.unsupervised.attribute.Remove-V-R1,3,5,7,last'

@attribute issuecleanedbodylen numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,1}


@data
14,1227,0,147,1
30,129,1,58,0
16,871,0,79,1
43,1262,10,169,1
156,637,0,105,1
43,332,8,110,0
3021,571,16,102,1
131,321,3,80,1
48,116,0,34,1
82,621,0,133,0
43,1514,24,260,1
38,208,7,41,1
49,277,1,80,1
35,975,0,155,1
56,544,2,67,1
10,230,45,105,0
87,222,0,38,1
6,164,16,63,1
227,333,0,54,1
53,779,10,119,1
110,589,0,52,1
16,685,1,121,1
104,1162,3,198,0
332,1164,9,223,0
11,579,2,81,1
41,752,18,149,1
81,800,13,114,0
192,572,1,64,1
26,1261,15,157,1
35,244,5,44,1
40,249,4,33,1
66,1128,0,121,1
98,174,2,48,1
586,973,18,134,1
39,1150,0,229,1
46,821,12,142,1
20,925,9,161,1
195,396,0,42,1
38,700,0,84,1
254,287,1,82,1
36,906,2,62,1
92,277,6,28,1
33,694,11,90,1
37,878,1,83,1
30,651,9,73,1
39,1192,24,208,1
40,834,1,127,1
53,174,1,68,1
22,1172,1,196,1
237,1136,2,89,1
372,494,3,97,1
21,1184,2,203,0
28,722,22,137,1
80,282,2,111,1
83,1439,12,265,1
4,1041,0,102,0
143,1201,6,209,0
28,938,3,158,1
38,321,3,80,0
96,321,5,108,1
144,938,0,79,1
21,1155,24,204,0
21,242,2,34,1
44,873,3,145,0
59,1003,9,149,1
89,369,1,108,1
59,662,0,129,1
96,360,4,71,1
102,358,0,71,1
43,771,0,83,1
66,1181,1,172,1
62,1323,4,168,1
31,363,0,37,1
360,237,46,121,1
7,1425,2,256,0
38,576,0,104,1
72,272,0,38,1
146,963,0,106,1
59,962,9,137,1
66,547,23,58,0
113,1077,2,189,1
12,334,0,95,0
35,960,0,115,1
173,357,4,70,1
63,1238,1,194,1
66,781,6,84,1
42,1033,0,60,1
17,226,2,75,0
129,1262,16,173,1
62,888,40,84,0
37,1188,2,205,0
820,1203,0,194,0
17,949,8,101,0
35,1315,27,128,1
29,604,4,127,1
26,907,7,129,1
160,1196,16,154,1
84,1249,15,155,1
71,1114,4,117,1
256,339,0,75,1
22,1129,16,213,0
43,1067,2,192,1
30,776,1,66,0
24,1440,14,255,1
37,704,0,85,1
79,1063,0,187,1
27,851,0,152,1
10,880,32,170,0
14,636,12,131,1
105,176,1,62,1
51,0,0,25,1
33,761,0,117,1
92,904,1,137,1
48,1257,25,183,0
74,690,20,128,1
48,975,0,155,1
30,365,7,71,0
52,1026,2,59,1
73,181,14,26,1
185,1522,13,259,1
33,419,0,35,1
59,1173,2,171,0
82,158,7,30,1
1559,572,16,101,1
52,904,2,74,1
76,648,17,135,1
61,176,0,68,1
14,1256,4,188,1
76,749,5,63,1
62,327,4,58,1
5,293,53,107,1
76,622,17,82,1
55,1457,23,263,0
58,1355,0,237,1
102,357,0,42,1
128,1292,9,114,1
46,207,0,106,1
131,546,1,41,1
139,1225,12,147,1
124,730,6,80,1
49,857,0,133,1
286,901,3,120,1
46,1169,1,196,1
41,594,1,78,1
104,576,8,64,1
88,726,7,142,0
67,726,3,70,0
7,186,33,59,1
14,975,2,75,1
20,302,7,71,1
59,317,4,69,0
75,589,4,132,1
70,701,11,67,1
81,255,6,38,1
38,867,24,153,1
28,215,45,74,1
121,1155,4,204,1
9,283,0,111,1
7,186,33,59,1
96,1265,0,107,1
98,197,0,69,0
48,165,1,63,1
281,969,0,182,1
78,676,4,131,1
