@relation 'hive-weka.filters.unsupervised.attribute.Remove-V-R2,3,5,6,7,last'

@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data
0,121,0,321,0,1000
0,69,0,161,0,1000
0,138,0,244,0,1000
0,776,0,1048,1,365
0,108,0,225,0,1000
0,127,0,225,0,1000
0,386,0,622,1,365
0,93,0,157,1,1000
0,142,0,264,0,1000
0,672,14,923,76,365
0,296,0,549,63,180
0,429,1,681,5,90
0,73,0,167,0,365
0,116,0,191,0,365
0,592,0,843,26,90
20,351,3,531,19,180
0,102,0,176,1,1000
0,139,0,242,0,1000
89,120,0,204,0,1000
0,112,1,232,2,365
0,83,0,163,0,1000
0,298,6,545,66,180
0,770,1,1060,1,30
0,115,0,195,0,1000
0,549,0,844,8,365
0,130,0,222,0,1000
51,136,0,211,0,1000
0,635,3,889,110,180
0,45,0,125,0,1000
0,466,0,644,1,365
0,131,0,323,0,1000
0,121,0,198,0,180
0,122,2,308,0,180
40,445,3,632,2,180
15,556,36,799,5,180
0,749,0,1022,3,365
0,484,3,814,4,90
0,85,0,153,1,1000
0,439,0,671,5,90
6,490,0,807,2,180
0,450,0,647,1,365
0,54,0,148,0,1000
0,99,1,231,0,365
0,178,43,437,0,90
27,108,1,186,1,1000
0,124,0,250,0,1000
0,165,0,338,0,365
0,379,0,611,1,365
0,565,0,823,29,365
0,128,0,259,0,1000
0,130,0,295,0,365
0,114,0,235,0,365
0,609,8,848,14,365
0,772,2,1031,1,7
0,626,1,881,13,90
0,677,0,980,1,90
0,156,0,304,0,1000
0,589,0,854,2,90
0,146,0,325,0,365
0,89,0,156,1,1000
0,144,0,252,0,1000
0,103,0,202,0,365
0,457,0,711,4,90
0,659,0,880,156,180
0,115,0,329,0,180
0,150,9,375,1,90
0,473,0,656,1,365
0,493,0,809,3,180
0,106,0,217,0,1000
0,276,0,492,1,90
0,84,0,161,0,1000
0,457,1,796,3,180
0,149,0,255,0,1000
0,111,0,233,0,1000
0,125,1,302,2,365
0,388,4,686,7,90
0,105,1,214,6,1000
34,767,9,1047,216,365
0,504,1,858,0,180
0,109,0,208,0,365
0,149,0,326,0,365
0,109,4,219,2,365
0,538,14,835,4,365
0,110,0,236,0,365
0,80,0,161,0,365
9,534,5,834,4,365
0,714,15,950,124,365
0,111,0,306,2,365
0,599,19,857,21,365
0,115,0,225,0,1000
0,150,19,313,10,90
0,123,1,304,2,365
0,535,0,801,2,90
0,615,0,854,14,90
0,69,0,158,0,1000
0,101,0,198,0,1000
0,850,0,1113,1,180
0,241,0,485,0,180
0,749,6,1005,163,365
0,471,0,671,1,1000
0,94,0,178,0,1000
0,122,0,237,0,1000
0,516,1,831,0,180
0,48,0,131,0,1000
0,636,2,921,12,365
0,462,0,764,6,90
0,476,0,830,2,180
0,368,1,537,19,180
0,93,0,224,0,365
0,87,0,153,1,1000
78,108,0,213,0,1000
0,82,0,158,0,1000
0,612,0,859,14,90
0,557,0,786,4,365
16,568,3,798,4,180
0,21,0,26,0,1000
0,771,0,1050,235,365
0,456,0,791,3,180
0,447,0,669,1,365
0,718,0,1005,1,180
0,126,0,199,0,365
0,537,10,828,4,365
0,502,1,754,3,90
0,526,1,814,4,180
0,102,0,210,0,1000
0,327,0,532,0,90
0,491,3,832,2,180
0,715,1,989,4,30
0,113,0,196,0,1000
0,556,0,796,28,365
0,157,0,336,0,180
0,287,0,527,52,180
0,782,6,1055,1,365
0,619,0,918,2,90
0,107,0,221,0,1000
0,515,1,847,0,180
0,668,0,956,11,90
0,385,5,630,6,180
0,290,0,535,100,180
23,85,1,151,1,1000
0,598,0,891,2,90
0,98,0,220,2,1000
0,559,0,796,29,90
0,748,0,1032,1,30
0,320,0,516,8,365
0,769,2,1060,229,365
0,469,0,694,1,365
0,496,0,871,0,180
0,96,0,214,0,1000
0,565,5,824,27,365
0,392,5,640,6,180
6,763,0,1026,1,365
6,523,2,831,1,180
0,760,17,1041,222,365
0,555,9,795,28,365
0,590,0,857,2,180
0,755,8,1036,1,365
0,481,1,815,2,180
0,691,1,950,10,90
0,485,0,716,117,1000
0,481,1,784,3,180
0,109,0,189,1,1000
0,328,5,509,17,180
0,846,1,1108,1,180
0,95,0,214,0,365
0,159,4,323,6,1000
