@relation 'hadoop-weka.filters.unsupervised.attribute.Remove-V-R3,6,last'

@attribute ncommitsinproject numeric
@attribute nissuescreatedinproject numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data
1322,1051,90
1290,830,365
1286,1071,180
0,239,1000
1220,927,180
0,293,1000
610,581,90
0,523,1000
1398,814,180
1277,910,180
0,194,1000
662,726,90
0,282,1000
1116,743,1000
1234,903,1000
0,640,1000
418,442,1000
1066,767,180
0,500,365
1314,1082,180
1214,1036,180
446,447,1000
0,579,1000
348,576,1000
0,238,1000
644,687,365
1158,951,90
615,708,90
0,359,1000
906,682,1000
0,185,1000
922,684,180
1402,1068,90
0,290,30
0,284,1000
1334,776,1000
0,540,1000
1208,757,90
952,873,1000
612,578,1000
1138,1034,1000
0,627,365
510,464,1000
1216,1044,1000
0,265,1000
0,627,365
1334,1038,30
1464,1136,365
1064,917,1000
1146,946,1000
544,713,365
792,893,365
1112,932,1000
1346,848,1000
0,340,1000
1176,736,90
0,359,1000
138,522,1000
1016,970,90
988,887,90
1146,757,90
898,726,1000
1040,880,1000
0,642,365
1330,1059,1000
1310,802,90
1178,739,365
602,569,365
1194,944,90
643,690,365
1340,1077,1000
652,579,365
1256,732,90
0,554,365
0,524,1000
0,332,1000
0,383,1000
942,858,90
0,362,1000
1414,1012,90
1260,983,1000
1374,1113,1000
1084,740,180
912,654,1000
1526,1182,365
1226,1049,180
0,581,1000
1138,965,1000
761,791,90
1298,1084,180
448,338,365
1162,961,1000
966,731,365
1132,835,1000
984,896,365
0,223,1000
1108,869,365
828,610,365
0,560,90
816,665,1000
0,236,1000
42,564,1000
0,591,180
758,859,180
934,688,1000
1365,898,365
1134,891,180
972,688,180
1435,898,365
1008,884,180
0,506,365
1114,790,90
1540,1198,1000
0,368,90
686,511,1000
887,752,365
1190,902,180
907,828,1000
1190,903,1000
662,723,180
1024,926,1000
938,702,1000
934,687,365
620,723,365
976,710,365
1322,775,180
628,587,1000
768,823,1000
913,855,1000
1322,1051,1000
1270,1005,365
0,282,90
748,543,365
0,264,1000
602,677,1000
0,246,1000
1078,769,1000
840,876,90
484,597,1000
0,116,1000
498,422,365
1373,1035,365
0,62,1000
1550,830,180
0,280,30
1318,931,180
907,791,180
1384,762,90
0,314,1000
492,346,365
1330,1095,1000
0,589,1000
0,583,365
1198,728,1000
1470,1154,1000
1086,775,1000
0,402,90
936,857,1000
0,288,1000
1198,729,1000
859,846,180
0,543,1000
652,580,1000
0,573,30
1344,1045,1000
1132,812,90
1080,783,1000
0,565,1000
0,560,1000
1152,678,1000
0,268,30
0,555,1000
0,229,1000
612,566,1000
0,588,1000
1012,973,90
0,505,1000
969,894,365
1130,882,1000
1179,923,90
0,633,365
0,569,365
901,808,180
1327,926,1000
1417,1043,90
932,660,180
1222,897,1000
0,408,1000
1232,968,90
434,443,1000
896,690,365
0,263,90
980,872,1000
0,310,1000
260,546,1000
693,777,90
996,902,1000
768,537,1000
0,225,1000
0,281,1000
1068,768,365
0,304,180
1104,680,365
699,736,180
1334,1043,1000
538,716,1000
1486,1163,180
1092,777,180
0,517,365
552,660,1000
1214,918,1000
1420,998,90
770,657,1000
606,686,180
831,833,180
0,379,1000
595,690,90
901,833,180
708,649,1000
0,547,1000
116,550,1000
1542,825,180
0,38,1000
0,69,1000
1528,1182,1000
0,578,1000
604,627,365
0,355,1000
970,707,180
1416,1130,180
0,519,90
1118,974,30
0,292,30
616,654,365
0,553,180
610,551,1000
0,634,1000
1217,882,180
1332,787,1000
1404,750,90
0,630,180
1238,971,1000
1474,1140,1000
1186,960,180
1194,802,180
994,896,90
1178,740,1000
0,257,1000
1076,786,1000
146,527,1000
0,194,1000
860,689,1000
0,266,90
1082,990,180
1122,839,90
0,292,30
1006,893,1000
1070,741,180
815,933,180
0,534,90
0,235,90
0,623,365
0,579,365
964,708,365
1114,933,1000
1098,741,1000
0,625,365
1522,816,1000
772,550,365
0,569,180
887,761,180
0,312,14
128,529,1000
1396,1058,90
1554,821,90
1199,880,180
0,281,1000
480,347,1000
1328,1111,1000
0,577,1000
572,622,1000
1106,678,90
970,960,1000
1168,953,90
982,681,365
1352,1107,1000
0,405,1000
1244,1036,365
0,232,1000
944,673,365
0,636,1000
0,210,90
650,453,1000
0,362,1000
1068,937,1000
0,577,1000
0,558,90
0,597,1000
958,883,1000
644,586,90
160,532,1000
0,554,1000
234,537,1000
0,504,1000
0,347,1000
0,572,90
478,466,1000
1126,801,180
484,351,365
1292,1020,90
904,687,1000
192,532,1000
1419,1042,90
1451,1015,365
0,504,365
756,819,90
1379,1031,180
1518,1168,365
128,536,1000
1164,745,90
0,590,365
0,182,1000
0,544,365
1281,917,180
0,643,365
1450,962,180
0,449,90
1120,885,1000
1408,1090,90
1118,796,180
0,579,1000
578,618,1000
1014,904,180
0,56,1000
0,578,365
1466,1158,1000
0,280,1000
1438,1043,90
899,778,180
920,652,365
1132,1027,180
1265,907,180
0,556,365
870,669,365
0,563,1000
454,596,1000
780,578,365
0,526,1000
0,368,1000
1312,759,180
1256,807,180
0,499,1000
0,619,1000
0,482,180
0,278,180
0,633,1000
0,362,90
1288,1077,180
0,593,14
887,749,180
0,501,1000
0,289,30
1277,916,1000
988,820,90
0,615,365
566,694,180
592,516,1000
0,276,365
0,318,1000
450,330,365
938,775,90
934,672,365
1208,953,1000
1438,818,365
1432,985,365
1439,886,365
0,366,90
0,585,1000
1264,1065,90
0,455,90
1434,1080,90
0,589,1000
1136,801,180
1434,1022,90
0,308,1000
1092,878,90
594,608,365
1506,1177,1000
1281,916,1000
0,267,14
964,713,1000
0,605,365
0,368,1000
0,343,1000
1324,1009,1000
910,683,90
0,550,90
0,583,1000
128,522,1000
0,367,1000
1216,889,1000
1092,787,180
950,875,90
1040,736,1000
0,292,1000
1373,899,180
920,879,1000
887,762,180
820,873,90
1484,1142,1000
882,693,1000
0,227,1000
0,182,1000
1100,747,1000
0,544,1000
928,656,1000
482,445,1000
0,360,30
1178,784,90
646,609,1000
0,595,365
0,616,365
0,564,1000
0,569,1000
940,741,1000
968,708,365
0,463,180
1072,763,365
960,714,365
1052,744,180
0,373,1000
636,686,180
634,583,90
0,565,365
0,535,1000
1240,740,1000
1198,892,365
0,639,180
348,580,1000
1012,894,180
1222,756,90
0,347,1000
0,510,365
1048,903,90
1082,773,30
1058,978,180
1218,926,1000
944,688,1000
766,635,365
352,581,1000
896,691,365
0,181,180
0,244,1000
1258,745,90
854,692,180
940,862,1000
944,729,14
0,249,1000
1322,780,90
1190,753,1000
0,108,1000
1540,1199,1000
1430,1078,1000
1084,739,1000
0,542,1000
0,602,365
1514,798,365
644,620,1000
1114,951,1000
558,717,180
1160,939,1000
0,432,1000
0,374,90
659,734,90
908,642,1000
608,571,365
0,510,90
0,208,1000
1348,1107,180
1080,765,1000
0,346,1000
774,850,1000
1158,857,1000
1244,1037,180
1112,826,90
984,725,1000
852,690,1000
0,589,180
0,177,1000
1464,1139,1000
0,299,1000
1072,985,30
783,807,90
1084,991,30
0,540,1000
1296,810,180
754,535,365
696,742,365
1354,1105,180
1538,1190,1000
480,463,1000
1378,1113,1000
676,742,90
847,835,180
0,344,180
757,814,365
0,534,90
