This file contains summary statistics (precision, recall, pf, f1, ROC) for the generated models.
Each section contains the ten (prec pd pf F1 ROC) stats calculated for each fold in 10-fold cross validation, with the dataset being cross-validated listed at the top of the section.

camelbefore14
prec  pd    pf    F1    ROC
0.544 0.786 0.66 0.643 0.564
0.536 0.743 0.626 0.623 0.555
0.549 0.741 0.611 0.631 0.564
0.559 0.707 0.59 0.624 0.564
0.562 0.673 0.554 0.613 0.571
0.566 0.663 0.537 0.611 0.579
0.568 0.662 0.53 0.612 0.582
0.573 0.656 0.513 0.612 0.589
0.572 0.659 0.517 0.612 0.588
0.575 0.651 0.501 0.611 0.591

ofbizbefore1
prec  pd    pf    F1    ROC
0 0 0 0 0.5
0 0 0 0 0.477
0 0 0 0 0.479
0 0 0 0 0.478
0 0 0 0 0.474
0 0 0 0 0.475
0 0 0 0 0.476
0 0 0 0 0.478
0 0 0 0 0.479
0 0 0 0 0.474

ofbizbefore30
prec  pd    pf    F1    ROC
0.605 0.909 0.833 0.726 0.551
0.61 0.893 0.778 0.725 0.568
0.605 0.902 0.805 0.724 0.569
0.613 0.863 0.77 0.717 0.564
0.615 0.857 0.762 0.716 0.564
0.62 0.85 0.748 0.717 0.568
0.621 0.86 0.757 0.721 0.568
0.624 0.853 0.739 0.721 0.577
0.626 0.849 0.733 0.721 0.579
0.623 0.853 0.734 0.72 0.58

ofbizbefore7
prec  pd    pf    F1    ROC
0.568 0.485 0.268 0.523 0.656
0.538 0.438 0.265 0.483 0.613
0.551 0.448 0.271 0.494 0.615
0.562 0.468 0.286 0.511 0.608
0.567 0.442 0.266 0.497 0.611
0.559 0.447 0.276 0.497 0.61
0.562 0.44 0.266 0.493 0.612
0.565 0.453 0.272 0.503 0.614
0.559 0.446 0.273 0.496 0.609
0.557 0.442 0.27 0.493 0.611

ofbizbefore90
prec  pd    pf    F1    ROC
0.667 0.973 0.938 0.791 0.528
0.668 0.987 0.969 0.797 0.516
0.669 0.979 0.957 0.795 0.512
0.68 0.975 0.945 0.802 0.513
0.685 0.972 0.94 0.804 0.515
0.688 0.972 0.934 0.806 0.516
0.689 0.976 0.943 0.808 0.514
0.688 0.979 0.95 0.808 0.515
0.688 0.978 0.95 0.808 0.513
0.686 0.98 0.955 0.808 0.514

qpidbefore14
prec  pd    pf    F1    ROC
0 0 0 0 0.5
0 0 0 0 0.488
0 0 0 0 0.479
0 0 0 0 0.48
0 0 0 0 0.471
0 0 0 0 0.46
0 0 0 0 0.456
0 0 0 0 0.458
0 0 0 0 0.458
0 0 0 0 0.458

qpidbefore1
prec  pd    pf    F1    ROC
